edinet_cd,name,部門区分,行区分,正規化group1,正規化科目,unit,表示単位,2017/3/31,2018/3/31,2019/3/31,2020/3/31,2021/3/31,2022/3/31,2023/3/31,2024/3/31,2025/3/31,2026/3/31
E04499,関西電力株式会社,水力発電費,個別勘定科目,,損害保険料,JPY,百万円,13,13,13,25,22,6,2,2,3,3
E04499,関西電力株式会社,水力発電費,個別勘定科目,,諸費,JPY,百万円,389,382,491,1226,3350,3323,2395,2045,2570,2175
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,諸税,JPY,百万円,4411,4299,4251,4275,4342,4322,4352,4344,4302,4221
E04499,関西電力株式会社,水力発電費,内訳,諸税,固定資産税,JPY,百万円,4357,4273,4211,4236,4298,4277,4310,4298,4260,4175
E04499,関西電力株式会社,水力発電費,内訳,諸税,雑税,JPY,百万円,54,26,39,39,43,45,41,45,41,45
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,減価償却費,JPY,百万円,17304,17131,17866,13033,13286,13223,14227,14722,14683,15806
E04499,関西電力株式会社,水力発電費,内訳,減価償却費,普通償却費,JPY,百万円,17304,17131,17866,13033,13286,13223,14227,14722,14683,15806
E04499,関西電力株式会社,水力発電費,個別勘定科目,,委託費,JPY,百万円,4513,6047,5611,5716,5619,5437,5561,6155,7023,7912
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,2234,2598,2033,1845,2355,1623,1030,1334,2532,2800
E04499,関西電力株式会社,水力発電費,内訳,固定資産除却費,除却損,JPY,百万円,1251,991,1253,779,1032,567,520,559,729,395
E04499,関西電力株式会社,水力発電費,内訳,固定資産除却費,除却費用,JPY,百万円,983,1607,779,1066,1323,1055,510,774,1803,2405
E04499,関西電力株式会社,水力発電費,個別勘定科目,,共有設備費等分担額,JPY,百万円,863,862,862,917,999,1091,1093,1163,1050,1159
E04499,関西電力株式会社,水力発電費,個別勘定科目,,共有設備費等分担額|貸方,JPY,百万円,-27,-20,-31,-25,-19,-9,-11,-11,-11,-14
E04499,関西電力株式会社,水力発電費,個別勘定科目,,賃借料,JPY,百万円,737,790,760,798,929,868,863,878,948,902
E04499,関西電力株式会社,水力発電費,個別勘定科目,,給料手当,JPY,百万円,6329,6725,7802,7885,7653,7450,7280,7552,8009,8285
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,給料手当振替額|貸方,JPY,百万円,-417,-364,-318,-354,-141,-243,-410,-461,-529,-570
E04499,関西電力株式会社,水力発電費,内訳,給料手当振替額|貸方,建設費への振替額|貸方,JPY,百万円,-181,-124,-84,-120,-98,-135,-172,-201,-250,-277
E04499,関西電力株式会社,水力発電費,内訳,給料手当振替額|貸方,その他への振替額|貸方,JPY,百万円,-236,-240,-233,-233,-42,-108,-237,-259,-279,-292
E04499,関西電力株式会社,水力発電費,個別勘定科目,,補償費,JPY,百万円,451,563,587,684,617,865,608,611,643,642
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,厚生費,JPY,百万円,1263,1308,1461,1503,1374,1350,1334,1359,1411,1472
E04499,関西電力株式会社,水力発電費,内訳,厚生費,法定厚生費,JPY,百万円,996,1087,1272,1295,1262,1247,1228,1261,1297,1345
E04499,関西電力株式会社,水力発電費,内訳,厚生費,一般厚生費,JPY,百万円,267,221,188,208,112,102,106,98,114,127
E04499,関西電力株式会社,水力発電費,個別勘定科目,,水利使用料,JPY,百万円,4418,4415,4429,4423,4428,4441,4452,4460,4467,4471
E04499,関西電力株式会社,水力発電費,個別勘定科目,,雑給,JPY,百万円,220,233,246,292,362,353,359,358,402,340
E04499,関西電力株式会社,水力発電費,個別勘定科目,,消耗品費,JPY,百万円,167,175,172,125,179,156,145,291,186,262
E04499,関西電力株式会社,水力発電費,個別勘定科目,,修繕費,JPY,百万円,11798,12889,11569,11502,11431,6121,5896,7066,11144,14125
E04499,関西電力株式会社,水力発電費,個別勘定科目,,非化石証書関連振替額,JPY,百万円,,,,,-41,-547,425,-1216,140,630
E04499,関西電力株式会社,水力発電費,区分合計,,合計,JPY,百万円,54671,58052,57811,53876,56754,49834,49607,50656,58979,64625
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,損害保険料,JPY,百万円,165,69,71,166,142,1,,0,0,0
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,諸費,JPY,百万円,995,1023,823,877,2432,2120,2336,1846,1663,2254
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,諸税,JPY,百万円,14843,8859,8144,7530,6825,6357,5857,5723,5361,5003
E04499,関西電力株式会社,汽力発電費,内訳,諸税,固定資産税,JPY,百万円,9155,8565,7847,7237,6531,6074,5590,5452,5089,4742
E04499,関西電力株式会社,汽力発電費,内訳,諸税,雑税,JPY,百万円,5688,294,296,292,294,283,266,270,271,261
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,委託費,JPY,百万円,10980,13771,11998,9560,9336,8475,8190,4613,3329,4873
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,減価償却費,JPY,百万円,60419,46837,43677,32536,32724,30055,30312,33109,27770,25622
E04499,関西電力株式会社,汽力発電費,内訳,減価償却費,普通償却費,JPY,百万円,60419,46837,43677,32536,32724,30055,30312,33109,27770,25622
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,-5340,243,246,2737,8874,9279,877,9229,9558,5102
E04499,関西電力株式会社,汽力発電費,内訳,固定資産除却費,除却損,JPY,百万円,-756,89,9,332,340,85,97,122,2562,290
E04499,関西電力株式会社,汽力発電費,内訳,固定資産除却費,除却費用,JPY,百万円,-4583,153,236,2404,8533,9194,779,9107,6995,4811
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,共有設備費等分担額,JPY,百万円,97,147,156,40,27,34,93,134,88,46
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,共有設備費等分担額|貸方,JPY,百万円,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,賃借料,JPY,百万円,2423,3287,648,618,438,422,410,414,416,363
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,給料手当,JPY,百万円,10909,10692,10530,9874,10264,9702,9409,9092,9770,9619
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,補償費,JPY,百万円,813,637,539,507,497,459,475,411,417,431
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,給料手当振替額|貸方,JPY,百万円,-52,-72,-41,-215,-181,-203,-286,-136,-68,-58
E04499,関西電力株式会社,汽力発電費,内訳,給料手当振替額|貸方,建設費への振替額|貸方,JPY,百万円,-17,-5,-8,-110,-12,-18,-37,-3,-20,-27
E04499,関西電力株式会社,汽力発電費,内訳,給料手当振替額|貸方,その他への振替額|貸方,JPY,百万円,-34,-66,-32,-104,-169,-185,-249,-132,-47,-30
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,厚生費,JPY,百万円,2024,2037,1967,1870,2012,1900,1849,1764,1785,1753
E04499,関西電力株式会社,汽力発電費,内訳,厚生費,法定厚生費,JPY,百万円,1786,1779,1748,1647,1827,1735,1687,1617,1627,1588
E04499,関西電力株式会社,汽力発電費,内訳,厚生費,一般厚生費,JPY,百万円,237,258,218,222,184,165,161,146,157,164
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,雑給,JPY,百万円,163,177,175,123,126,159,226,361,488,483
